audio_file,sentence_id,sentence,ipa_dict,ipa_dict_phones,ipa_dict_words
common_voice_it_17630394.mp3,non_mainstream_s01,Successivamente è ammesso effettuare una bracciata a rana.,sutʃtʃessivamenteammessoeffettwareunabratʃtʃataarana,s u tʃ tʃ e s s i v a m e n t e a m m e s s o e f f e t t w a r e u n a b r a tʃ tʃ a t a a r a n a,sutʃtʃessivamente ammesso effettware una bratʃtʃata a rana
common_voice_it_18890792.mp3,non_mainstream_s02,Parlatemi di coloro che abitano il palazzo.,parlatemidikolorokeabitanoilpalatstso,p a r l a t e m i d i k o l o r o k e a b i t a n o i l p a l a ts ts o,parlatemi di koloro ke abitano il palatstso
common_voice_it_19933143.mp3,non_mainstream_s03,Il titolo della striscia non è cambiato ma il personaggio di Barney compare raramente.,iltitolodellastriʃʃanonkambjatomailpersonadʒdʒodikompareraramente,i l t i t o l o d e l l a s t r i ʃ ʃ a n o n k a m b j a t o m a i l p e r s o n a dʒ dʒ o d i k o m p a r e r a r a m e n t e,il titolo della striʃʃa non kambjato ma il personadʒdʒo di kompare raramente
common_voice_it_20284001.mp3,non_mainstream_s04,Bob e il suo collega lo scoprono e iniziano a preoccuparsi.,eilsuokollɛɡaloskopronoeinitstsjanoapreokkuparsi,e i l s u o k o l l ɛ ɡ a l o s k o p r o n o e i n i ts ts j a n o a p r e o k k u p a r s i,e il suo kollɛɡa lo skoprono e initstsjano a preokkuparsi
common_voice_it_20284279.mp3,non_mainstream_s05,Entrambi i suoi genitori sono Ebrei.,entrambiswɔidʒenitorisonoebrɛi,e n t r a m b i s w ɔ i dʒ e n i t o r i s o n o e b r ɛ i,entrambi swɔi dʒenitori sono ebrɛi
common_voice_it_25595019.mp3,mainstream_s01,Ha una massa di circa quattro volte quella terrestre.,aunamassaditʃirkakwattrovɔltekwellaterrɛstre,a u n a m a s s a d i tʃ i r k a k w a t t r o v ɔ l t e k w e l l a t e r r ɛ s t r e,a una massa di tʃirka kwattro vɔlte kwella terrɛstre
common_voice_it_25595088.mp3,mainstream_s02,"Alberto Manzi vuole fare il maestro all'età di venti anni, in pieno dopoguerra.",albɛrtomandzivwɔlefareilmaɛstrodiventianniinpjɛnodɔpoɡwɛrra,a l b ɛ r t o m a n dz i v w ɔ l e f a r e i l m a ɛ s t r o d i v e n t i a n n i i n p j ɛ n o d ɔ p o ɡ w ɛ r r a,albɛrto mandzi vwɔle fare il maɛstro di venti anni in pjɛno dɔpoɡwɛrra
common_voice_it_25595133.mp3,mainstream_s03,Il commercio è favorito dalla posizione centrale della Valle.,ilkommɛrtʃofavoritodallapositstsjonetʃentraledellavalle,i l k o m m ɛ r tʃ o f a v o r i t o d a l l a p o s i ts ts j o n e tʃ e n t r a l e d e l l a v a l l e,il kommɛrtʃo favorito dalla positstsjone tʃentrale della valle
common_voice_it_30609221.mp3,mainstream_s04,Molti ebrei di Berlino tentarono di nascondersi.,moltiebrɛidiberlinotentaronodinaskondersi,m o l t i e b r ɛ i d i b e r l i n o t e n t a r o n o d i n a s k o n d e r s i,molti ebrɛi di berlino tentarono di naskondersi
common_voice_it_32187952.mp3,non_mainstream_s06,Una seconda chiesa si trova a Castelvecchio Basso ed è dedicata a San Giuseppe.,unasekondakjɛsasitrɔvaabassoeddedikataasandʒusɛppe,u n a s e k o n d a k j ɛ s a s i t r ɔ v a a b a s s o e d d e d i k a t a a s a n dʒ u s ɛ p p e,una sekonda kjɛsa si trɔva a basso ed dedikata a san dʒusɛppe
common_voice_it_32456880.mp3,mainstream_s05,"Si tratta di un ritratto di profilo, ancora in voga nel primo rinascimento.",sitrattadiunritrattodiprofiloankorainvɔɡanelprimorinaʃʃimento,s i t r a t t a d i u n r i t r a t t o d i p r o f i l o a n k o r a i n v ɔ ɡ a n e l p r i m o r i n a ʃ ʃ i m e n t o,si tratta di un ritratto di profilo ankora in vɔɡa nel primo rinaʃʃimento
common_voice_it_34438539.mp3,mainstream_s06,Con il marchio Big Jim vengono distribuiti inoltre molti altri giochi e oggetti derivati.,konilmarkjovɛnɡonodistribuitiinoltremoltialtridʒɔkieodʒdʒɛttiderivati,k o n i l m a r k j o v ɛ n ɡ o n o d i s t r i b u i t i i n o l t r e m o l t i a l t r i dʒ ɔ k i e o dʒ dʒ ɛ t t i d e r i v a t i,kon il markjo vɛnɡono distribuiti inoltre molti altri dʒɔki e odʒdʒɛtti derivati
common_voice_it_37013072.mp3,non_mainstream_s07,Invece dei balloon le immagini erano accompagnate da didascalie.,invetʃedeileimmadʒiniɛranoakkompaɲɲatedadidaskalie,i n v e tʃ e d e i l e i m m a dʒ i n i ɛ r a n o a k k o m p a ɲ ɲ a t e d a d i d a s k a l i e,invetʃe dei le immadʒini ɛrano akkompaɲɲate da didaskalie
common_voice_it_37013074.mp3,non_mainstream_s08,Sono compresi nel conteggio gli incontri disputati in qualsiasi torneo.,sonokompresinelkontedʒdʒoʎiinkontridisputatiinkwalsiasitornɛo,s o n o k o m p r e s i n e l k o n t e dʒ dʒ o ʎ i i n k o n t r i d i s p u t a t i i n k w a l s i a s i t o r n ɛ o,sono kompresi nel kontedʒdʒo ʎi inkontri disputati in kwalsiasi tornɛo
common_voice_it_38559819.mp3,mainstream_s07,La stagione va da settembre a luglio.,lastadʒonevadasettɛmbrealuʎʎo,l a s t a dʒ o n e v a d a s e t t ɛ m b r e a l u ʎ ʎ o,la stadʒone va da settɛmbre a luʎʎo
common_voice_it_38561707.mp3,mainstream_s08,La regione è attraversata dal fiume Broye.,laredʒoneattraversatadalfjume,l a r e dʒ o n e a t t r a v e r s a t a d a l f j u m e,la redʒone attraversata dal fjume
common_voice_it_38802892.mp3,non_mainstream_s09,Passa del tempo: Henry si rivela un ubriacone e un adultero.,passadeltɛmposirivelaunubrjakoneeunadultero,p a s s a d e l t ɛ m p o s i r i v e l a u n u b r j a k o n e e u n a d u l t e r o,passa del tɛmpo si rivela un ubrjakone e un adultero
common_voice_it_39916251.mp3,mainstream_s09,Fu cresciuta con la sorella Carlotta e fu intima della Duchessa di Borbone.,fukreʃʃutakonlasorɛllakarlɔttaefuintimadelladukessadiborbone,f u k r e ʃ ʃ u t a k o n l a s o r ɛ l l a k a r l ɔ t t a e f u i n t i m a d e l l a d u k e s s a d i b o r b o n e,fu kreʃʃuta kon la sorɛlla karlɔtta e fu intima della dukessa di borbone
common_voice_it_40516666.mp3,mainstream_s10,A questo scopo gli insediamenti cosacchi occupavano aree cuscinetto ai confini dell'Impero.,akwestoskɔpoʎiinsedjamentikosakkiokkupavanoareekuʃʃinettoaikonfiniimpɛro,a k w e s t o s k ɔ p o ʎ i i n s e d j a m e n t i k o s a k k i o k k u p a v a n o a r e e k u ʃ ʃ i n e t t o a i k o n f i n i i m p ɛ r o,a kwesto skɔpo ʎi insedjamenti kosakki okkupavano aree kuʃʃinetto ai konfini impɛro
common_voice_it_40595421.mp3,non_mainstream_s10,"A seguito di questi contrasti, Giovanni cadde in disgrazia presso l'imperatore.",aseɡwitodikwestikontrastidʒovannikaddeindisɡratstsjaprɛssoimperatore,a s e ɡ w i t o d i k w e s t i k o n t r a s t i dʒ o v a n n i k a d d e i n d i s ɡ r a ts ts j a p r ɛ s s o i m p e r a t o r e,a seɡwito di kwesti kontrasti dʒovanni kadde in disɡratstsja prɛsso imperatore
